brand,name,price,concentration,gender,scents,base_note,middle_note,Gender_encoded,scent_strength,price_normalized,notes_diversity,base_note_0,base_note_1,base_note_2,base_note_3,base_note_4,base_note_5,base_note_6,base_note_7,base_note_8,base_note_9,base_note_10,base_note_11,middle_note_0,middle_note_1,middle_note_2,middle_note_3,middle_note_4,middle_note_5,middle_note_6,middle_note_7,middle_note_8,middle_note_9,middle_note_10,middle_note_11
Guerlain,Vetiver,174.0,EDT,Men,Aromatic,"Vetiver, Oakmoss, Leather, Myrrh, Civet, Tonka Bean, Amber","Vetiver, Pepper, Carnation, Sage, Orris Root, Sandalwood",1,1,0.18749305169538633,14,Vetiver,Oakmoss,Leather,Myrrh,Civet,Tonka Bean,Amber,,,,,,Vetiver,Pepper,Carnation,Sage,Orris Root,Salwood,Sandalwood,,,,,
Dior,Sauvage,208.25,EDT,Men,Spicy,"Cedar, Ambroxan","Geranium,Lavender,Elemi, Pink Pepper, Patchouli,Vetiver",1,1,0.2255697609783213,8,Cedar,Ambroxan,,,,,,,,,,,Geranium,Lavender,Elemi,Pink Pepper,Patchouli,Vetiver,,,,,,
Shirley May,Darknet Pour Homme,11.5,EDT,Men,Woody,Musk And Moss,"Anise, Cardamom And Cinnamon",1,1,0.006837131739855475,3,Musk  Moss,,,,,,,,,,,,Anise,Cardamom  Cinnamon,,,,,,,,,,
PACO RABANNE,Lady Million,158.0,EDP,Women,Floral,"Patchouli, White Honey and Amber","Jasmine, African Orange Flower and Gardenia",0,2,0.16970539188438022,6,Patchouli,White Honey,Amber,,,,,,,,,,Jasmine,African Orange Flower,Gardenia,,,,,,,,,
CARTIER,La Panthere,235.85,EDP,Women,Fruity,"Oakmoss, Musk, Patchouli, Leather","Gardenia, Rose, Ylang-Ylang, Orange Blossom, Pear",0,2,0.2562534741523068,9,Oakmoss,Musk,Patchouli,Leather,,,,,,,,,Gardenia,Rose,Ylang-Ylang,Orange Blossom,Pear,,,,,,,
DAVIDOFF,The Game,77.0,EDT,Men,Woody,Ebony Wood,"Iris, Woody Notes",1,1,0.07965536409116176,3,Ebony Wood,,,,,,,,,,,,Iris,Woody Notes,,,,,,,,,,
PACO RABANNE,Ultraviolet,165.0,EDT,Men,Woody,Indonesian Patchouli And Oakmoss,Tanzanian Black Pepper And Ambergris,1,1,0.1774874930516954,2,Indonesian Patchouli  Oakmoss,,,,,,,,,,,,Tanzanian Black Pepper  Ambergris,,,,,,,,,,,
Shirley May,Black Car,9.95,EDT,Men,Citrus,Amber and palisander rosewood,Cedar and spicy notes,1,1,0.005113952195664257,5,Amber,palis,er rosewood,,,,,,,,,,Cedar,spicy notes,,,,,,,,,,
Guerlain,Santal Royal,406.0,EDP,Unisex,Arabian,"Sandalwood, Leather note, Amber notes, Oud, Muscs note","Peach, Rose, Cinnamon",2,2,0.44541411895497496,9,Salwood,Sandalwood,Leather note,Amber notes,Oud,Muscs note,,,,,,,Peach,Rose,Cinnamon,,,,,,,,,
GUESS,Marciano,80.7,EDT,Men,Spicy,Woody And Spicy,"Spicy, Lavenday And Sage",1,1,0.08376876042245693,3,Woody  Spicy,,,,,,,,,,,,Spicy,Lavenday  Sage,,,,,,,,,,
Estee Lauder,Modern Muse Nuit,284.8,EDP,Women,Floral,"Vanilla, Amber, Patchouli and Sandalwood","Heliotrope, Chamomile and Chinese Jasmine",0,2,0.3106725958866037,8,Vanilla,Amber,Patchouli,Salwood,Sandalwood,,,,,,,,Heliotrope,Chamomile,Chinese Jasmine,,,,,,,,,
BURBERRY,My Burberry,226.65,EDP,Women,Floral,Oined with Damascus and Centifolia Rose,Freesia Flowers and Golden Quince,0,2,0.24602556976097834,4,Oined with Damascus,Centifolia Rose,,,,,,,,,,,Freesia Flowers,Golden Quince,,,,,,,,,,
Rasasi,Hatem,69.25,EDP,Unisex,Spicy,"Woody, Aandal And Cedar Wood And Musk",Jasmine And Rose,2,2,0.07103946637020567,4,Woody,A,al  Cedar Wood  Musk,,,,,,,,,,Jasmine  Rose,,,,,,,,,,,
LACOSTE,Joy Of Pink,113.95,EDT,Women,Floral,"Musk, vanilla","Jasmine, carrot, and spicy coriander",0,1,0.12073374096720402,7,Musk,vanilla,,,,,,,,,,,Jasmine,carrot,,spicy cori,er,,,,,,,
LALIQUE,Le'Parfum,143.0,EDP,Women,Oriental,"Sandalwood, Tonka Bean, Patchouli and Vanilla",Jasmine and Heliotrope,0,2,0.153029460811562,7,Salwood,Sandalwood,Tonka Bean,Patchouli,Vanilla,,,,,,,,Jasmine,Heliotrope,,,,,,,,,,
GUCCI,Memoire  D'une Odeur EDP For Uni,349.95,EDP,Unisex,Fresh,"Sandalwood, Cedar, Vanilla","Coral Jasmine, Jasmine Petals, Musks",2,2,0.38310172317954416,7,Salwood,Sandalwood,Cedar,Vanilla,,,,,,,,,Coral Jasmine,Jasmine Petals,Musks,,,,,,,,,
VERSACE,Versace,137.45,EDP,Women,Fruity,"Musk, Grey Amber And Inoki Wood","Lotus, Plum, Raspberry And Lebanese Blue Cedar",0,2,0.14685936631461924,5,Musk,Grey Amber  Inoki Wood,,,,,,,,,,,Lotus,Plum,Raspberry  Lebanese Blue Cedar,,,,,,,,,
DORALL COLLECTION,Oud Wood,9.9,PDT,Unisex,Citrus,"Cedar, tobacco, patchouli, sandalwood, musk","Geranium, marigold, rose, bay leaves",2,,0.005058365758754865,10,Cedar,tobacco,patchouli,Salwood,Sandalwood,musk,,,,,,,Geranium,marigold,rose,bay leaves,,,,,,,,
HUGO BOSS,The Scent,135.0,EDT,Men,Spicy,"Leather, Woody Notes","Lavender, Maninka",1,1,0.14413563090605894,4,Leather,Woody Notes,,,,,,,,,,,Lavender,Maninka,,,,,,,,,,
CHOPARD,Casmir,94.9,EDP,Women,Vanilla,"Amber, Woods, Musk, Patchouli, Sandalwood, Vanilla","Geranium, Jasmine, Lily-Of-The-valley",0,2,0.09955530850472485,10,Amber,Woods,Musk,Patchouli,Salwood,Sandalwood,Vanilla,,,,,,Geranium,Jasmine,Lily-Of-The-valley,,,,,,,,,
CAROLINA HERRERA,212 Sexy,151.0,EDP,Women,Floral,"Cotton Candy,Musk,Sandalwood,Vanilla","Gardenia,Geranium",0,2,0.16192329071706504,8,Cotton C,y,Musk,Salwood,Sandalwood,Vanilla,,,,,,,Gardenia,Geranium,,,,,,,,,,
Guerlain,L'instant,262.9,EDP,Women,Vanilla,"Vanilla, Benzoin, Musk and Amber","Magnolia, Sambac Jasmine, Ylang-Ylang and Iris",0,2,0.286325736520289,8,Vanilla,Benzoin,Musk,Amber,,,,,,,,,Magnolia,Sambac Jasmine,Ylang-Ylang,Iris,,,,,,,,
BVLGARI,Rose Essentielle,274.9,EDP,Women,Floral,Sandalwood And Patchouli,Blackberry Are Softened With Delicate Violet And Jasmine Trace,0,2,0.29966648137854357,3,Salwood,alwood  Patchouli,,,,,,,,,,,Blackberry Are Softened With Delicate Violet  Jasmine Trace,,,,,,,,,,,
Parfums Gres,Cabotine De Gres,78.0,EDP,Women,Floral,"Patchouli, Sandalwood And Musk","Ginger, Lily, Tubereuse And Wild Hyacinth",0,2,0.08076709282934964,6,Patchouli,Salwood,alwood  Musk,,,,,,,,,,Ginger,Lily,Tubereuse  Wild Hyacinth,,,,,,,,,
Lancome,Magie Noire L'eau,401.0,EDT,Women,Woody,"Amber, Sandalwood and Patchouli",Jasmine and Ylang-Ylang,0,1,0.43985547526403557,6,Amber,Salwood,Sandalwood,Patchouli,,,,,,,,,Jasmine,Ylang-Ylang,,,,,,,,,,
Calvin Klein,CK Be,110.0,EDT,Unisex,Spicy,"Sandalwood, Amber, Cedar and Oakmoss","Green Grass, Magnolia, Orchid, Freesia, Peach and Jasmine",2,1,0.11634241245136187,11,Salwood,Sandalwood,Amber,Cedar,Oakmoss,,,,,,,,Green Grass,Magnolia,Orchid,Freesia,Peach,Jasmine,,,,,,
HUGO BOSS,Boss,105.0,EDT,Men,Woody,"Sandalwood, Vetiver, Cedarwood And Vanilla","Geranium, Cinnamon And Cloves",1,1,0.11078376876042247,6,Salwood,Sandalwood,Vetiver,Cedarwood  Vanilla,,,,,,,,,Geranium,Cinnamon  Cloves,,,,,,,,,,
Marc Jacobs,Daisy Eau So Fresh,179.4,EDT,Women,Fruity,"Musk, Plum, Cedarwood","Violet, Wild Rose, Apple Blossom, Lychee, Jasmine Petals",0,1,0.1934963868816009,8,Musk,Plum,Cedarwood,,,,,,,,,,Violet,Wild Rose,Apple Blossom,Lychee,Jasmine Petals,,,,,,,
COACH,New York Coach Dreams,201.75,EDP,Women,Floral,Joshua Tree And Ambroxan,Gardenias And Cactus Flowers,0,2,0.21834352418010006,2,Joshua Tree  Ambroxan,,,,,,,,,,,,Gardenias  Cactus Flowers,,,,,,,,,,,
Dolce & Gabbana,Intenso,194.5,EDP,Men,Spicy,"Labdanum, Sandalwood, Cypress, Musk, Amber","Hay, Moepel Accord, Bran, Clary Sage",1,2,0.2102834908282379,10,Labdanum,Salwood,Sandalwood,Cypress,Musk,Amber,,,,,,,Hay,Moepel Accord,Bran,Clary Sage,,,,,,,,
GUESS,Marciano,76.8,EDP,Women,Citrus,"Musk, Vanilla, Woody Notes","Peony, Jasmine, Honeysuckle",0,2,0.07943301834352419,6,Musk,Vanilla,Woody Notes,,,,,,,,,,Peony,Jasmine,Honeysuckle,,,,,,,,,
Remy Marquis,Shalis,50.35,EDP,Men,Fruity,"Nutmeg, Oakmoss And Sandalwood",Lavender And Basil,1,2,0.0500277932184547,4,Nutmeg,Oakmoss  S,Sandalwood,,,,,,,,,,Lavender  Basil,,,,,,,,,,,
LANVIN PARIS,Rumeur 2 Rose,106.85,EDP,Women,Floral,"Patchouli, Amber And Musk","Lily Of The Valley, Jasmine, False Jasmine, Rose, Magnolia And Honeysuckle",0,2,0.11284046692607004,7,Patchouli,Amber  Musk,,,,,,,,,,,Lily Of The Valley,Jasmine,False Jasmine,Rose,Magnolia  Honeysuckle,,,,,,,
Roberto Cavalli,cavali,115.0,EDP,Men,Arabian,"Roasted Tonka Grain, Laos Benzoin","Orange Blossom Extract, Mirabelle Plum",1,2,0.12190105614230129,4,Roasted Tonka Grain,Laos Benzoin,,,,,,,,,,,Orange Blossom Extract,Mirabelle Plum,,,,,,,,,,
Roberto Cavalli,Florence Amber,209.9,EDP,Women,Floral,"Honey, Patchouli","Quince, Gardenia, Cashmirwood",0,2,0.22740411339633132,5,Honey,Patchouli,,,,,,,,,,,Quince,Gardenia,Cashmirwood,,,,,,,,,
CARON,De Caron,178.0,EDT,Men,Fresh,Musk,Vanille,1,1,0.19193996664813787,2,Musk,,,,,,,,,,,,Vanille,,,,,,,,,,,
Paris Hilton,Heiress,151.0,EDP,Women,Fruity,"Violet Leaf, Tahiti Tonka, Light Wood","Jasmine, Tiare Lily, Delightfully Sweet Ylang-Ylang, Honeysuckle, Grenadine",0,2,0.16192329071706504,8,Violet Leaf,Tahiti Tonka,Light Wood,,,,,,,,,,Jasmine,Tiare Lily,Delightfully Sweet Ylang-Ylang,Honeysuckle,Grenadine,,,,,,,
CAROLINA HERRERA,212 VIP,190.0,EDP,Women,Arabian,"Vanille, Tonka Bean","Musk, Gardenia",0,2,0.20528071150639246,4,Vanille,Tonka Bean,,,,,,,,,,,Musk,Gardenia,,,,,,,,,,
LACOSTE,L.12.12 Blanc,89.95,EDT,Men,Woody,"Virginia Cedar, Leather, Suede, Vetiver",Ylang,1,1,0.09405225125069484,5,Virginia Cedar,Leather,Suede,Vetiver,,,,,,,,,Ylang,,,,,,,,,,,
BURBERRY,My Burberry,179.0,EDP,Women,Floral,"Amber, Patchouli","Peach, Rose",0,2,0.19305169538632574,4,Amber,Patchouli,,,,,,,,,,,Peach,Rose,,,,,,,,,,
DORALL COLLECTION,Love You Like Crazy,7.25,EDT,Women,Woody,"Patchouli, musk, vanilla, amber","Peony, jasmine, lily",0,1,0.0021122846025569764,7,Patchouli,musk,vanilla,amber,,,,,,,,,Peony,jasmine,lily,,,,,,,,,
TRUSSARDI,Extreme,127.95,EDT,Men,Woody,Vetiver and Patchouli,"Fruity-Gourmand, Dark Plum and Powdery Iris",1,1,0.13629794330183437,6,Vetiver,Patchouli,,,,,,,,,,,Fruity-Gourm,,Dark Plum,Powdery Iris,,,,,,,,
VERSACE,Versace Pour Homme,163.55,EDT,Men,Fresh,"Amber, Tonka Beans And Musk","Geranium, Clary Sage And Blue Hyacinth",1,1,0.17587548638132297,4,Amber,Tonka Beans  Musk,,,,,,,,,,,Geranium,Clary Sage  Blue Hyacinth,,,,,,,,,,
MING NA,Beibei Bear Blue Par,20.9,EDP,Kids Unisex,Floral,"Patchouli, Earthy, Dry Amber","Sandalwood, Peppery, Lavender",2,2,0.017287381878821565,7,Patchouli,Earthy,Dry Amber,,,,,,,,,,Salwood,Sandalwood,Peppery,Lavender,,,,,,,,
Roberto Cavalli,Paradiso,165.0,EDP,Women,Woody,"Pine Tree, Cypress and Laurels",Jasmine,0,2,0.1774874930516954,4,Pine Tree,Cypress,Laurels,,,,,,,,,,Jasmine,,,,,,,,,,,
LALIQUE,Encre Noire,140.0,EDT,Men,Woody,Sandalwood,Lemongrass,1,1,0.14969427459699833,3,Salwood,Sandalwood,,,,,,,,,,,Lemongrass,,,,,,,,,,,
AZZARO,Visit,106.0,EDT,Men,Woody,"Gray Amber, And Musk","Lebanese Cedar, Guaiac Tree, And Incense",1,1,0.11189549749861034,5,Gray Amber,Musk,,,,,,,,,,,Lebanese Cedar,Guaiac Tree,Incense,,,,,,,,,
Calvin Klein,Escape,96.25,EDT,Men,Woody,"Sandalwood, Amber, Patchouli, Oakmoss and Vetiver","Rosemary, Cypress, Fir, Sage, Birch and Sea notes",1,1,0.10105614230127849,12,Salwood,Sandalwood,Amber,Patchouli,Oakmoss,Vetiver,,,,,,,Rosemary,Cypress,Fir,Sage,Birch,Sea notes,,,,,,
Calvin Klein,Beauty,106.45,EDP,Women,Floral,Cedarwood,Jasmine,0,2,0.11239577543079489,2,Cedarwood,,,,,,,,,,,,Jasmine,,,,,,,,,,,
GUESS,Guess,103.6,EDT,Women,Woody,"Australian Sandalwood, Musk and Vanilla","Peony, Violet and Jasmine",0,1,0.10922734852695942,7,Australian S,Sandalwood,Musk,Vanilla,,,,,,,,,Peony,Violet,Jasmine,,,,,,,,,
HUGO BOSS,Bottled Intense,157.85,EDP,Men,Spicy,"Sandalwood, Cedar, Vetiver, Vanilla","Geranium, Cloves, Cinnamon",1,2,0.16953863257365204,8,Salwood,Sandalwood,Cedar,Vetiver,Vanilla,,,,,,,,Geranium,Cloves,Cinnamon,,,,,,,,,
Rasasi,Royale,43.25,EDT,Men,Spicy,Aromatic Scents,Delicate Musk Fragrance,1,1,0.04213451917732073,2,Aromatic Scents,,,,,,,,,,,,Delicate Musk Fragrance,,,,,,,,,,,
Estee Lauder,Private Collection,197.0,EDP,Women,Floral,"Sandalwood, Heliotrope, Amber And Musk","Bulgarian Rose, Chrysanthemum, Reseda, Ylang-ylang And Coriander",0,2,0.2130628126737076,9,Salwood,Sandalwood,Heliotrope,Amber  Musk,,,,,,,,,Bulgarian Rose,Chrysanthemum,Reseda,Ylang-ylang  Cori,er,,,,,,,
armani,Because It's You by Emporio,154.7,EDP,Women,Floral,"Vanilla, Musk",Rose Absolute,0,2,0.1660366870483602,3,Vanilla,Musk,,,,,,,,,,,Rose Absolute,,,,,,,,,,,
Lattafa,Rouat Al Oud,45.0,EDP,Women,Spicy,"Cedarwood, Patchouli, Vetiver, Musk","Cardamom, Spicy Notes",0,2,0.044080044469149524,6,Cedarwood,Patchouli,Vetiver,Musk,,,,,,,,,Cardamom,Spicy Notes,,,,,,,,,,
Yves Saint Laurent,La Nuit De L`Homme,314.0,EDT,Men,Woody,"Vetiver, Caraway","Bergamot, Virginia Cedar, Lavender",1,1,0.34313507504168983,5,Vetiver,Caraway,,,,,,,,,,,Bergamot,Virginia Cedar,Lavender,,,,,,,,,
Ajmal,Blu,139.95,EDP,Men,Fresh,"Sandalwood, Musk and Amber","Lotus, Jasmine",1,2,0.14963868816008893,6,Salwood,Sandalwood,Musk,Amber,,,,,,,,,Lotus,Jasmine,,,,,,,,,,
Mont Blanc,Legend,141.95,EDT,Men,Spicy,"Sandalwood, Tonka, And Evernyl","Dried Fruit, Oakmoss Fused With Geranium, Rose And Apple",1,1,0.1518621456364647,7,Salwood,Sandalwood,Tonka,Evernyl,,,,,,,,,Dried Fruit,Oakmoss Fused With Geranium,Rose  Apple,,,,,,,,,
HUGO BOSS,Bottled Tonic,124.9,EDT,Men,Citrus,"Woodsy Notes, Vetiver","Ginger, Cinnamon, Cloves, Geranium",1,1,0.1329071706503613,6,Woodsy Notes,Vetiver,,,,,,,,,,,Ginger,Cinnamon,Cloves,Geranium,,,,,,,,
Roberto Cavalli,Dupont,120.0,EDP,Women,Arabian,"Benzoin, Tonka Bean, Vanille",African Orange Flower,0,2,0.1274596998332407,4,Benzoin,Tonka Bean,Vanille,,,,,,,,,,African Orange Flower,,,,,,,,,,,
BURBERRY,Burberry Body,8.5,EDT,Women,Woody,"Absolute Vanilla Orchid Tahitensis, Praline, Patchouli, Papyrus","Rose Damascena Essence, Incense",0,1,0.0035019455252918294,6,Absolute Vanilla Orchid Tahitensis,Praline,Patchouli,Papyrus,,,,,,,,,Rose Damascena Essence,Incense,,,,,,,,,,
BENTLEY,Intense,128.0,EDP,Men,Spicy,"Leather, Benzoin, Incense, Cedar and Patchouli","Clary Sage, African Geranium, Cinnamon, Rum and Wood",1,2,0.13635352973874376,10,Leather,Benzoin,Incense,Cedar,Patchouli,,,,,,,,Clary Sage,African Geranium,Cinnamon,Rum,Wood,,,,,,,
BURBERRY,My Burberry,197.95,EDP,Women,Floral and Oriental,Damascus And Centifolia Rose,"Geranium, Freesia Flowers And Golden Quince",0,2,0.2141189549749861,3,Damascus  Centifolia Rose,,,,,,,,,,,,Geranium,Freesia Flowers  Golden Quince,,,,,,,,,,
Estee Lauder,Private Collection,219.4,EDP,Women,Floral,"Sandalwood, Heliotrope, Amber, Musk","Bulgarian Rose, Chrysanthemum, Reseda, Ylang-Ylang, Coriander",0,2,0.2379655364091162,11,Salwood,Sandalwood,Heliotrope,Amber,Musk,,,,,,,,Bulgarian Rose,Chrysanthemum,Reseda,Ylang-Ylang,Cori,er,,,,,,
LALIQUE,Encre Noire,136.95,EDT,Men,Woody,"Cashmere Wood, Musk",Haitian Vetiver,1,1,0.14630350194552527,3,Cashmere Wood,Musk,,,,,,,,,,,Haitian Vetiver,,,,,,,,,,,
Yves Saint Laurent,Rive Gauche Homme,560.0,EDT,Men,Aromatic,Gaiac Wood,Patchouli And Vetiver,1,1,0.6166203446359089,2,Gaiac Wood,,,,,,,,,,,,Patchouli  Vetiver,,,,,,,,,,,
LANVIN PARIS,Modern Princess,174.0,EDP,Women,Floral,"White Musk, White Woods, Vanilla orchid","Jasmine, Freesia",0,2,0.18749305169538633,5,White Musk,White Woods,Vanilla orchid,,,,,,,,,,Jasmine,Freesia,,,,,,,,,,
Nikos,Sculpture Homme,52.95,EDT,Men,Floral,"Amber, Benzoin, Cedar, Tonka Beans","Geranium, Jasmine, Lily Of The Valley, Rose",1,1,0.05291828793774319,8,Amber,Benzoin,Cedar,Tonka Beans,,,,,,,,,Geranium,Jasmine,Lily Of The Valley,Rose,,,,,,,,
DAVIDOFF,The Brilliant Game,93.75,EDT,Men,Arabian,Sensual Addiction Of The Tonka Bean Note,Charismatic Virility Of A Cedarwood,1,1,0.0982768204558088,2,Sensual Addiction Of The Tonka Bean Note,,,,,,,,,,,,Charismatic Virility Of A Cedarwood,,,,,,,,,,,
BURBERRY,London,172.5,EDP,Women,Floral,"Musk, Patchouli, Sandalwood","Jasmine, Tiare Flower, Peony, Clementine",0,2,0.1858254585881045,8,Musk,Patchouli,Salwood,Sandalwood,,,,,,,,,Jasmine,Tiare Flower,Peony,Clementine,,,,,,,,
Parfums Gres,Cabotine,75.0,EDT,Women,Floral,"Cedarwood, Vanilla, Tonka Bean, Cybet, Musk And Amber","Rose, Tuberose, Ylang-Ylang, Ginger Lily, Hyacinth, Heliotrope, Freesia, Violet And Iris",0,1,0.077431906614786,13,Cedarwood,Vanilla,Tonka Bean,Cybet,Musk  Amber,,,,,,,,Rose,Tuberose,Ylang-Ylang,Ginger Lily,Hyacinth,Heliotrope,Freesia,Violet  Iris,,,,
Elizabeth Arden,Green Tea,72.95,EDP,Women,Citrus,"Caraway, Amber, Musk, By Green Tea , Jasmine, Cloves, Oakmoss And Celery Seeds","Carnation, Musk,jasmine, Oakmoss, Amber And white Fennel",0,2,0.07515286270150084,12,Caraway,Amber,Musk,By Green Tea,Jasmine,Cloves,Oakmoss  Celery Seeds,,,,,,Carnation,Musk,jasmine,Oakmoss,Amber  white Fennel,,,,,,,
Van Cleef & Arpels,Ambre Imperial,479.0,EDP,Unisex,Woody,Woodsy Notes,"Tonka Bean, Vanilla, Amber, Benzoin",2,2,0.5265703168426904,5,Woodsy Notes,,,,,,,,,,,,Tonka Bean,Vanilla,Amber,Benzoin,,,,,,,,
LANVIN PARIS,L'Homme Sport,149.45,EDT,Men,Aromatic,"Cedar, Sandalwood, Musk, Amber, Iris, Vetiver, Benzoin, Moss And Spices","Jasmine, Violet, Iris, Ylang-Ylang, Gardenia, Carnation, Rosemary, Orchid And Cloves",1,1,0.1602001111728738,17,Cedar,Salwood,Sandalwood,Musk,Amber,Iris,Vetiver,Benzoin,Moss  Spices,,,,Jasmine,Violet,Iris,Ylang-Ylang,Gardenia,Carnation,Rosemary,Orchid  Cloves,,,,
J.CASANOVA,Pandora,79.95,EDP,Women,Fruity,"Cedar, Moss, Musk, Amber And Sandalwood","Lily-of-the-valley, Rose, Jasmine, Narcissus And Orchid",0,2,0.08293496386881602,9,Cedar,Moss,Musk,Amber  S,Sandalwood,,,,,,,,Lily-of-the-valley,Rose,Jasmine,Narcissus  Orchid,,,,,,,,
HUGO BOSS,Femme,139.95,EDP,Women,Floral,Apricot And Lemon Wood.,"Jasmine And Fleur De Lys, Bulgarian Rose",0,2,0.14963868816008893,3,Apricot  Lemon Wood.,,,,,,,,,,,,Jasmine  Fleur De Lys,Bulgarian Rose,,,,,,,,,,
Calvin Klein,Secret Obsession,163.95,EDP,Women,Woody,"Burnt Amber, Cashere Woods, Vanilla and Sandalwood","Jasmine, Orange Flower and Tuberose",0,2,0.1763201778765981,8,Burnt Amber,Cashere Woods,Vanilla,Salwood,Sandalwood,,,,,,,,Jasmine,Orange Flower,Tuberose,,,,,,,,,
AZZARO,Wanted,196.2,EDT,Men,Woody,"Haitian vetiver, tonka bean, amberwood","Guatemalan cardamom, juniper, apple, geranium",1,1,0.2121734296831573,7,Haitian vetiver,tonka bean,amberwood,,,,,,,,,,Guatemalan cardamom,juniper,apple,geranium,,,,,,,,
CARTIER,La Panthere,249.25,EDP,Women,Fruity,"Oakmoss, Musk, Leather, Patchouli","Gardenia, Rose, Ylang-Ylang, Orange Blossom, Pear",0,2,0.27115063924402444,9,Oakmoss,Musk,Leather,Patchouli,,,,,,,,,Gardenia,Rose,Ylang-Ylang,Orange Blossom,Pear,,,,,,,
adidas,Victory League,30.55,EDT,Men,Vanilla,"Cedarwood,Vanilla and Musk","Lavender, Pear and Cinnamon",1,1,0.028015564202334635,6,Cedarwood,Vanilla,Musk,,,,,,,,,,Lavender,Pear,Cinnamon,,,,,,,,,
PENHALIGON'S,Portraits George,886.0,EDP,Men,Woody,Tonka Beans,Shaving Soap,1,2,0.9790439132851584,2,Tonka Beans,,,,,,,,,,,,Shaving Soap,,,,,,,,,,,
BURBERRY,London,140.0,EDP,Women,Floral,"Sandalwood, Musk and Patchouli","Tiare Flower, Jasmine and Peony and a Hint of Fresh Clementine Zest",0,2,0.14969427459699833,8,Salwood,Sandalwood,Musk,Patchouli,,,,,,,,,Tiare Flower,Jasmine,Peony,a Hint of Fresh Clementine Zest,,,,,,,,
HUGO BOSS,Bottled Unlimited,126.0,EDT,Men,Vanilla,Sandalwood And Musk,Pineapple And Rose,1,1,0.13413007226236798,3,Salwood,alwood  Musk,,,,,,,,,,,Pineapple  Rose,,,,,,,,,,,
CHANEL,Bleu De Chanel,245.0,EDT,Men,Citrus,"Labdanum, Sandalwod, Patchouli, Vetiver, Incense, Cedar, White Musk","Ginger, Iso E Super, Nutmeg, Jasmine",1,1,0.26642579210672596,12,Labdanum,Salwood,alwod,Patchouli,Vetiver,Incense,Cedar,White Musk,,,,,Ginger,Iso E Super,Nutmeg,Jasmine,,,,,,,,
Laura Biagiotti,Roma Uomo,173.8,EDT,Men,Citrus,"Cedarwood, Patchouli, Sandalwood and Benzoin","Jasmine, Heliotrope, Juniperberry and Balsam Fir",1,1,0.18727070594774878,9,Cedarwood,Patchouli,Salwood,Sandalwood,Benzoin,,,,,,,,Jasmine,Heliotrope,Juniperberry,Balsam Fir,,,,,,,,
Juicy Couture,Viva La Juicy,151.8,EDP,Women,Floral,"Amber, Caramel, Praline, Sandalwood and Vanilla","Honeysuckle, Gardenia and Jasmine",0,2,0.16281267370761537,9,Amber,Caramel,Praline,Salwood,Sandalwood,Vanilla,,,,,,,Honeysuckle,Gardenia,Jasmine,,,,,,,,,
joop,Homme,60.0,EDT,Men,Citrus,"Vanilla, tonka bean, patchouli, sandalwood","Jasmine, lili of the valley, heliotrope",1,1,0.06075597554196776,8,Vanilla,tonka bean,patchouli,Salwood,Sandalwood,,,,,,,,Jasmine,lili of the valley,heliotrope,,,,,,,,,
NARCISO RODRIGUEZ,Narciso Rodriguez,207.0,EDP,Women,Floral,"Patchouli,Sandalwood","Amber,Musk",0,2,0.22418010005558645,5,Patchouli,Salwood,Sandalwood,,,,,,,,,,Amber,Musk,,,,,,,,,,
Dolce & Gabbana,3 L'Imperatrice,157.65,EDT,Women,Floral,"Musk, Sandalwood, Lemon Tree","Watermelon, Cyclamen, Jasmine",0,1,0.16931628682601446,7,Musk,Salwood,Sandalwood,Lemon Tree,,,,,,,,,Watermelon,Cyclamen,Jasmine,,,,,,,,,
CHOPARD,Wish,83.9,EDP,Women,Arabian,"Voluptuous Sensuality, Living Temple Incense, Amber, Vanilla Bean, Toffee, Tonka Bean","Floral Bouquet, Living Patchouli Flower, Magnolia, Jasmine, Living Osmanthus Flower",0,2,0.08732629238465815,11,Voluptuous Sensuality,Living Temple Incense,Amber,Vanilla Bean,Toffee,Tonka Bean,,,,,,,Floral Bouquet,Living Patchouli Flower,Magnolia,Jasmine,Living Osmanthus Flower,,,,,,,
AZZARO,Visit,110.0,EDT,Men,Woody,"Amber, musk","Labdanum, guaiac wood, incense, cedar",1,1,0.11634241245136187,6,Amber,musk,,,,,,,,,,,Labdanum,guaiac wood,incense,cedar,,,,,,,,
Rasasi,Blue Lady,27.0,EDP,Women,Floral,"Sandalwood, Vetiver, Vanilla, Amber And Musk","Peach, Plum, Narcissus And Jasmine",0,2,0.024068927181767646,8,Salwood,Sandalwood,Vetiver,Vanilla,Amber  Musk,,,,,,,,Peach,Plum,Narcissus  Jasmine,,,,,,,,,
CHANEL,Bleu De Chanel,374.0,EDP,Men,Woody,"Incense, Amber, Cedar, Sandalwood, Patchouli, Labdanum, Amber wood","Ginger, Jasmine, Nutmeg, Melon",1,2,0.40983879933296274,12,Incense,Amber,Cedar,Salwood,Sandalwood,Patchouli,Labdanum,Amber wood,,,,,Ginger,Jasmine,Nutmeg,Melon,,,,,,,,
MINI COLLECTION,2.2 s..y  No.1139 Eau De Par,16.9,EDP,Women,Jasmine,balsamic,bakhoor,0,2,0.012840466926070038,2,balsamic,,,,,,,,,,,,bakhoor,,,,,,,,,,,
