brand,name,price,concentration,gender,scents,base_note,middle_note,Gender_encoded,scent_strength,price_normalized,notes_diversity,base_note_0,base_note_1,base_note_2,base_note_3,base_note_4,base_note_5,base_note_6,base_note_7,base_note_8,base_note_9,base_note_10,base_note_11,middle_note_0,middle_note_1,middle_note_2,middle_note_3,middle_note_4,middle_note_5,middle_note_6,middle_note_7,middle_note_8,middle_note_9,middle_note_10,middle_note_11
NARCISO RODRIGUEZ,Narciso Rouge,275.15,EDP,Women,Woody,"Cedar Wood, Tonka Beans, Vetiver",Musk,0,2,0.29994441356309054,4,Cedar Wood,Tonka Beans,Vetiver,,,,,,,,,,Musk,,,,,,,,,,,
DORALL COLLECTION,24 Pure,9.85,EDT,Men,Fresh,"Amber, Musk, Sandalwood, Coumarin, Vanilla","Pink Pepper, Cardomon, Cinnamon, Jasmin, Cumin, Red Fruits, Lily, Nutmeg",1,1,0.005002779321845469,14,Amber,Musk,Salwood,Sandalwood,Coumarin,Vanilla,,,,,,,Pink Pepper,Cardomon,Cinnamon,Jasmin,Cumin,Red Fruits,Lily,Nutmeg,,,,
Rasasi,Romance,35.25,EDP,Women,Floral,"Amber, Musk, Powdery Notes, Cedar and Sandalwood","Rose,Jasmine",0,2,0.033240689271817676,8,Amber,Musk,Powdery Notes,Cedar,Salwood,Sandalwood,,,,,,,Rose,Jasmine,,,,,,,,,,
BOUCHERON,Quatre,171.5,EDP,Women,Floral,Golden Woods Musk,"Sambac Jasmine Absolute, Rose Absolute",0,2,0.18471372984991663,3,Golden Woods Musk,,,,,,,,,,,,Sambac Jasmine Absolute,Rose Absolute,,,,,,,,,,
NARCISO RODRIGUEZ,Narciso Rodriguez,200.0,EDP,Women,Floral,Patchouli and Sandalwood,Amber and Musk,0,2,0.21639799888827127,5,Patchouli,Salwood,Sandalwood,,,,,,,,,,Amber,Musk,,,,,,,,,,
Alina Corel,Monsieur Intense Gold,31.45,EDP,Unisex,Woody,"Rare Wood, Amber Fat, White Musk","Shepherd, Saffron, Teak Wood, Gaiak Wood",2,2,0.029016120066703725,7,Rare Wood,Amber Fat,White Musk,,,,,,,,,,Shepherd,Saffron,Teak Wood,Gaiak Wood,,,,,,,,
Revlon,Charlie Gold,43.0,EDT,Women,Woody,"Sandalwood, Cedar Wood, Vanilla, Caramel Musk, Woody Accords","Jasmine, Rose, Muget, Freesia, Cinnamon",0,1,0.04185658699277376,11,Salwood,Sandalwood,Cedar Wood,Vanilla,Caramel Musk,Woody Accords,,,,,,,Jasmine,Rose,Muget,Freesia,Cinnamon,,,,,,,
TED LAPIDUS,Pour Homme,44.45,EDT,Men,Woody,"Sandalwood, tonka bean, amber, patchouli, musk, oakmoss, cedar, tobacco","Pine tree, honey, orris root, jasmine, caraway, petitgrain, lily-of-the-valley, rose, brazilian rosewood, incense",1,1,0.04346859366314619,19,Salwood,Sandalwood,tonka bean,amber,patchouli,musk,oakmoss,cedar,tobacco,,,,Pine tree,honey,orris root,jasmine,caraway,petitgrain,lily-of-the-valley,rose,brazilian rosewood,incense,,
Britney Spears,Fantasy,90.0,EDP,Women,Vanilla,"Luid Sandalwood, Jasmine, Amber, Vanilla","Sweet Napolitano Cake, Verbena, Jacaranda Wood, Grapefruit Blossom",0,2,0.09410783768760424,10,Luid S,Sandalwood,Jasmine,Amber,Vanilla,,,,,,,,Sweet Napolitano Cake,Verbena,Jacar,a Wood,Grapefruit Blossom,,,,,,,
GUCCI,Bloom Aqua Di Fiori,311.8,EDT,Women,Fruity,Jasmine,Tuberose,0,1,0.3406892718176765,2,Jasmine,,,,,,,,,,,,Tuberose,,,,,,,,,,,
